"","No screening","0.9999 0 IgAEMA","0.9999 0 IgAEMA plus HLA","0.766 0.625 IgAEMA","0.766 0.625 IgAEMA plus HLA","0.409 0.922 IgAEMA","0.409 0.922 IgAEMA plus HLA","0.123 0.989 IgAEMA","0.123 0.989 IgAEMA plus HLA","0.002 0.9999 IgAEMA","0.002 0.9999 IgAEMA plus HLA","0.773 0.659 IgAEMA","0.773 0.659 IgAEMA plus HLA","0.584 0.889 IgAEMA","0.584 0.889 IgAEMA plus HLA","0.335 0.97 IgAEMA","0.335 0.97 IgAEMA plus HLA","0.1 0.996 IgAEMA","0.1 0.996 IgAEMA plus HLA"
"26",12819.2365646708,15075.5969734152,15363.9754235189,13618.6792531026,14973.2364818613,13529.9963133175,14864.9637972397,13677.1212749771,14904.8812250729,13949.0788131741,14959.0239909206,13612.9966748196,14961.9496068854,13592.4329930438,14890.9213350526,13753.4207439897,14919.4067735363,14114.6954035528,14983.1687054427
"27",13272.344155586,15181.0592742721,15443.171482743,14062.8944156104,15057.3944607083,13951.6048950293,14946.9596544625,14044.0667527357,14986.8673533859,14233.7271679451,15042.3768968896,14053.2279539794,15045.0838071851,14000.6316668137,14971.8524990764,14100.3524768253,15000.8076117629,14350.9854289514,15067.058387975
"28",12865.3098633947,15046.6942760627,15364.964986734,13666.2081399068,14998.6255125873,13573.5771853077,14911.2222577272,13711.2302584552,14962.9677437668,13967.1520756367,15019.1847394685,13659.8130786643,14988.1216353478,13633.6215214654,14935.851956681,13783.5166565853,14976.9614972327,14122.3609223026,14525.6952278936
"29",12858.4075494725,15110.5655681167,15430.1487264222,13657.8554914425,15013.3143772746,13567.184767953,14881.6637580092,13710.860678545,14903.4529539808,13978.9942747603,14945.9676654861,13651.9005379193,15000.250457408,13629.0481854573,14908.7489120863,13786.5382803164,14918.5946646474,14143.0673838791,14966.5863420674
"30",13205.8270945524,15110.2762293937,15393.2797710252,13988.93834417,14989.1907293511,13878.8959449545,14849.5486664575,13971.4118463936,14860.7954328696,14160.1159944838,14894.6379998617,13979.5212958197,14974.2438637026,13928.2174761135,14874.6951047625,14028.1624501481,14875.0148220337,14276.5050251169,14911.878371957
"31",12061.8705219314,14938.9945602958,15336.7231382166,12892.596404233,14885.4666884379,12840.1525208512,14750.7594542691,13081.8012777983,14773.8424859651,13495.0000967086,14817.6614912633,12893.5858567982,14874.1868991216,12926.7181610997,14781.6046978767,13193.3315934829,14790.9281908718,13742.6863992616,14839.280018742
"32",13048.5530521342,15106.3382710756,15482.5774055634,13839.1614711683,15059.6067844811,13739.2433798025,14928.1660172017,13856.9815129192,14957.1187708828,14083.3065174727,15005.6805342874,13831.4832096017,15045.4983489854,13794.5163426953,14955.2480631953,13922.4471031408,14972.3477373319,14221.5171214558,15028.3463568884
"33",13847.4489549718,15117.5573298991,15468.795218967,14601.541993619,15077.9508400635,14455.3609723693,14957.0337167554,14453.4418269232,14988.7067126587,14499.0925909374,15034.2793657917,14585.4729312949,15062.6254210426,14480.6033072421,14980.7824104239,14474.57895597,15002.2331476405,14531.3009093886,14530.8227062936
"34",12981.4815398992,15240.1253421578,15597.4117968622,13782.5268861538,15177.1441991055,13694.8245644872,15055.9248503149,13844.0265078719,15092.6410487504,14117.2718858641,15147.1573868683,13777.0439944279,15164.9316618247,13757.91429513,15083.6990963006,13920.8905160239,15108.1220137927,14282.6872113195,15172.0697804895
"35",10347.333469715,14967.357750144,15461.2969185695,11247.5427914814,15040.8230008593,11300.6659956576,14933.9899200004,11809.6329805246,14973.163027966,12628.1823019681,15021.2749076977,11267.3633904333,15031.7360042869,11453.2187517274,14964.9851588702,12019.3423348726,14991.0319328656,13114.83108,15043.4692329498
"36",12062.6267631683,15200.5818951906,15529.5882136262,12905.0947023683,15100.2337513885,12868.5918367772,14980.1958635985,13150.7929463393,15007.8032856206,13624.6043330728,15052.8221465258,12908.957494325,15091.1391273792,12965.2954560921,15010.4856575717,13277.1883802174,15024.5350906176,13907.5553459815,15074.5594292246
"37",11159.2516628999,14955.8384421323,15402.6073270861,12024.6544717703,14944.0171527597,12027.3096453157,14822.2125136963,12408.542643281,14855.2495544524,13034.9246946973,14904.6600616791,12035.4536304218,14935.7282567839,12148.2359455881,14855.5373700176,12571.5524403816,14873.6834878167,13409.0970799725,14928.3065927006
"38",10343.0141141633,15003.8506681023,15366.6160054198,11241.9478127787,14929.0152371981,11296.4007899028,14832.4726599909,11809.0586072651,14873.7930607657,12635.3945234555,14925.9910637684,11262.0117885135,14926.0326883333,11449.8634494247,14866.9532561579,12020.6231518932,14892.6460693523,13127.8106259541,14950.4820960541
"39",11858.7753288124,15002.9370315548,15356.0950542544,12696.3709042012,14927.202351711,12661.9814110294,14824.5178462938,12946.7709074454,14872.1030553293,13425.3020514186,14933.3146803606,12700.4378147376,14920.1165365163,12758.6901230562,14855.5870665937,13073.5435545525,14889.080417455,13711.5492069165,14960.9109600454
"40",11005.8770799752,14964.2303894833,15351.2425223896,11881.4248665552,14901.9401113857,11893.2736636351,14787.2016498978,12299.2080938339,14819.7780356929,12962.0950057403,14867.7071251682,11893.9453272206,14895.4571981108,12020.5929636491,14820.6307580945,12471.4070084777,14838.1417766086,13357.2189285026,14890.7885875801
"41",10553.7445427054,15115.3017923248,15462.8799144605,11454.6314357331,15032.7518513689,11505.9787048098,14937.0441010652,12009.5550671434,14978.976404564,12815.510938948,15031.3470798053,11474.2269528914,15029.2042543691,11657.6774203983,14970.7613289994,12217.0328725421,14997.5158619847,13292.4818529034,15055.756822354
"42",10649.0326911829,15045.8111855638,15556.137704671,11544.9058390188,15071.5965251218,11585.2265445864,14944.1711978514,12062.1932861071,14974.8213953641,12828.5189343814,15022.4368636028,11562.5715716808,15064.195446315,11730.4520110087,14980.2884656682,12260.114405916,14994.8024747354,13282.442147599,15045.8652515019
"43",13537.3846799442,14976.9463141792,15285.8154539768,14303.7687916283,14882.8458994963,14165.4959871162,14744.6998212509,14187.0325742246,14764.9462221814,14268.6002976088,14807.2612909187,14289.2580346199,14866.4310326764,14197.0105360987,14768.8750905636,14217.3438875646,14778.6797393069,14322.0161038857,14827.4292831181
