,,Sensitivity,,Specificity
10347,3.379,0.97,7.526,1.00
10348,3.379,0.97,7.526,1.00
10349,3.379,0.97,7.526,1.00
10350,3.379,0.97,7.526,1.00
10351,4.863,0.99,5.108,0.99
10352,4.863,0.99,5.108,0.99
10353,4.863,0.99,5.108,0.99
10354,3.428,0.97,4.968,0.99
10355,3.428,0.97,4.968,0.99
10356,3.428,0.97,4.968,0.99
10357,3.428,0.97,4.968,0.99
10358,3.428,0.97,4.968,0.99
10359,3.428,0.97,4.968,0.99
10360,3.428,0.97,4.968,0.99
10361,4.232,0.99,-8.45,0.00
10362,2.349,0.91,1.31,0.79
10363,3.305,0.96,1.742,0.85
10364,3.305,0.96,1.742,0.85
10365,3.305,0.96,1.742,0.85
10366,3.305,0.96,1.742,0.85
10367,3.305,0.96,1.742,0.85
10368,3.077,0.96,8.118,1.00
10369,3.077,0.96,8.118,1.00
10370,4.229,0.99,2.171,0.90
10371,4.389,0.99,-27.91,0.00
10372,2.831,0.94,2.103,0.89
10373,3.536,0.97,4.578,0.99
10374,3.536,0.97,4.578,0.99
10375,3.536,0.97,4.578,0.99
10376,3.536,0.97,4.578,0.99
10377,3.536,0.97,4.578,0.99
10378,3.536,0.97,4.578,0.99
10379,3.536,0.97,4.578,0.99
10380,3.536,0.97,4.578,0.99
10381,4.414,0.99,-10.07,0.00
10382,3.252,0.96,4.078,0.98
10383,3.252,0.96,4.078,0.98
10384,3.252,0.96,4.078,0.98
10385,3.252,0.96,4.078,0.98
10386,3.252,0.96,4.078,0.98
10387,3.252,0.96,4.078,0.98
10388,3.942,0.98,5.008,0.99
10389,3.942,0.98,5.008,0.99
10390,3.942,0.98,5.008,0.99
10391,2.331,0.91,8.925,1.00
10392,2.331,0.91,8.925,1.00
10393,2.331,0.91,8.925,1.00
10394,2.331,0.91,8.925,1.00
10395,3.351,0.97,2.133,0.89
10396,3.351,0.97,2.133,0.89
10397,3.961,0.98,8.636,1.00
10398,3.961,0.98,8.636,1.00
10399,3.961,0.98,8.636,1.00
10400,3.961,0.98,8.636,1.00
10401,4.076,0.98,-2.798,0.06
